epoch,a_mAP,a_mAP_visible,a_mAP_unshown,class_0_mAP,class_1_mAP,class_2_mAP,class_3_mAP,class_4_mAP,class_5_mAP,class_6_mAP,class_7_mAP,class_8_mAP,class_9_mAP,class_10_mAP,class_11_mAP,class_12_mAP,class_13_mAP,class_14_mAP,class_15_mAP,class_16_mAP
241,0.42918797611866794,0.4523236435310033,0.344354743484231,0.3194226801664818,0.40974809948387586,0.7313309658045687,0.5738823969458507,0.20637431492995578,0.31236378844044943,0.2907725455979846,0.510554903700645,0.6652903674031291,0.6233543135391517,0.5243235170526069,0.4039773053765762,0.41088983704491255,0.7291303736214843,0.45852013984668644,0.1262600450629949,0.0
246,0.43726689512642775,0.46135574782785105,0.3178151294139034,0.2833340699164715,0.42033374226871145,0.7316068510431034,0.5804461539548409,0.21477591926925318,0.32336186196682554,0.28923460449618976,0.5383998484654635,0.6710400645684426,0.6233005440546252,0.5059175703642177,0.40769394407565257,0.46521441394797086,0.7461717807383755,0.4551788295830196,0.17752701843610935,0.0
251,0.4289400221177321,0.4539119863673874,0.35547587476875003,0.28743604879968515,0.41345625288424975,0.7298423230914443,0.5881367810684823,0.20234245421383393,0.32854429225856535,0.2822821841817105,0.5310516231830028,0.6729288981074992,0.627439332487462,0.5091337094770011,0.4012057659754779,0.4476833958957951,0.7289105517031746,0.45949309876221645,0.08209366391184574,0.0
256,0.43367682256146634,0.45137722192736984,0.34159518026503183,0.2736964688204358,0.42893012633683475,0.7492059341308213,0.5757796799341419,0.24109213913845737,0.33535067503173394,0.2599699972424964,0.5382408081640918,0.6656603032767252,0.623184196132554,0.5053980015206947,0.41253874194793705,0.43829903015799426,0.7236708750455983,0.4540590116920056,0.1474299949724047,0.0
261,0.43910769444114045,0.4583151880283479,0.3482899629208178,0.372248458612095,0.4105610409820272,0.7404173310958873,0.5849843902305026,0.2329371639549158,0.3191200980337778,0.29448269285342155,0.5378351199146583,0.6658687072861007,0.6231755568118831,0.5229846091084003,0.4020920626911589,0.4608213446938546,0.7179519271309306,0.43226254137564984,0.14708776072412436,0.0
266,0.4347892721505357,0.4604558064415644,0.34654780183077977,0.36710903471234047,0.42379796462714375,0.7317670496245913,0.5825828823729382,0.23974141468546578,0.2930661508396113,0.3046866126943558,0.5393516287571787,0.6708390576358958,0.6190987804910292,0.5162472206477685,0.4098181239901656,0.43760387044104815,0.726298752010825,0.46469381424649475,0.06471526878225442,0.0
271,0.4421513655337491,0.4645261457297749,0.3508937765111095,0.4116883116883116,0.4115532887081246,0.7344907881572595,0.5703641580682074,0.24464453228354002,0.30693314974172053,0.3128639576952311,0.5327296369752951,0.6730397100151789,0.6271600646331843,0.5254633295425765,0.41049565306637786,0.42130804076103706,0.731541914456115,0.4569172643071212,0.14537941397445528,0.0
276,0.4365441087426039,0.4578038372845016,0.34251500817996094,0.34654914191941166,0.425566643030833,0.6996104979450658,0.5785504430918414,0.25345219320395723,0.31584821215380027,0.2966643579070141,0.5276077673408728,0.6741261066884033,0.625917389663979,0.5240786912038976,0.41084426345142067,0.4171439160845263,0.7227180802716717,0.47635871163595545,0.12621343303161484,0.0
281,0.43907754602178956,0.46170130649142943,0.3436222568330933,0.3129295858087787,0.41868768337834095,0.7435014964748633,0.5711085784613996,0.2454800499611086,0.30539156630358255,0.2579973513294284,0.5357546680083386,0.6673222119006523,0.6198460748770187,0.5075048143977264,0.4111889319984235,0.44182274954078765,0.7268369296206294,0.46464806964818517,0.23429752066115705,0.0
286,0.4412322556353747,0.46352661756715513,0.3851205055625201,0.2880898406747241,0.4255423853488402,0.7316772789249916,0.5947410197563072,0.212829826865425,0.3261239377701456,0.2921176993593443,0.5180428625925675,0.685799238516324,0.6285640147947151,0.5263851930875577,0.4162110368153851,0.4181239492826958,0.7280278659856378,0.4690027745391055,0.23966942148760323,0.0
291,0.4407739824490195,0.4619074203461904,0.3567595848235028,0.23580051855452924,0.43308028232747414,0.730913654375297,0.6018150468964897,0.2539771476684902,0.315189598452483,0.29814711301143887,0.541916727615664,0.6800962575895576,0.6263988593118297,0.5276426433157256,0.4124502571848665,0.47348825793834726,0.7228363150323741,0.47336146995157424,0.16604355240718877,0.0
296,0.4431800399411054,0.46686271004209884,0.3406224312409102,0.3003771669911679,0.427884894650394,0.72257656128869,0.587727216907546,0.2407881891047885,0.302342692541143,0.29235982750222406,0.5264451763402361,0.6728762522699296,0.627692578093547,0.5207684888196827,0.41134214824132853,0.46953220531714246,0.7250487033011374,0.4790258503571073,0.2272727272727273,0.0
